,review,rating,autor(a),data
1141," [53]Second viewing, slight downgrade from 58. Guess that’s part of the problem of having a film that leans so heavily on twists and narrative switcheroos—once you know they’re coming, it takes an awful lot of wind outta the sails. Remains a visual feast—though that’s becoming a redundancy when talking about Pixar at this point—and I still think this hammers home a specific doctrine about posthumous legacy that A GHOST STORY totally whiffs. Just wish that would’ve been the nexus instead of yet another warming but cobwebby treatise about the importance of family over everything else. (There are enough of those.) ", ★★★ ,Tony (tectactoe),01 Mar 2019
1142," a visual masterpiece, heartwarming drama, a gosh dang relatable sidekicks character and a song enriched with emotion through each new rendition.I too hope to remembered so kindly  ", ★★★★ ,Cayls,21 Feb 2019
1143," I miss spending the holidays with my extended family so much. More importantly, I miss my grandma and great-grandma. <3 ", ★★★★ ,trey 🍂,02 Feb 2019
1144, This is one of the best Disney Pixar films imho. Loved the vibrant colors in the Land of the Dead. It makes me emotional because Coco has an uncanny resemblance to my own grandmother and I'm extremely close to her. So when Miguel sings to her it gets me everytime. 10/10 , ★★★★★ ,Zay,03 Dec 2018
1145," Dia de los Muertos, der Tag der Toten. Mexikos Gedenken der Verstorbenen --> 31. Okt. bis 2. November. Demnach eine gelungene Programmüberleitung von Halloween zu Allerheiligen/-seelen. Disney überquert darin die Brücke vom Leben ins Reich der Toten. Und klein Miguel den „grenzüberschreitenden“ Weg familiärer Selbstfindung.Die Barriere bildgewaltig und außerordentlich kreativ eingefädelt, präsentiert sich COCO als bunter, kultureller Augenschmaus und rührende Geschichte voll warmherziger Ideen. Sodass einem in beiden Fällen die Augen überlaufen. Eine grandiose Visualisierung/Interpretation spirituellen Gedankengutes – mit Musik als Schlüssel zur Heilung. Der schönste Ahnenbesuch der Animationsgeschichte! Durch und durch magisch. :) ", ★★★★½ ,MoeMents,01 Nov 2018
1146, feliz dia de los muertos <3 , ★★★½ ,gillian,31 Oct 2018
1147,"  I’ve watched the first 20 minutes of this like 3 times and every single time i would get interrupted. I FINALLY had the chance to watch it and I am broken up!! This film was beautiful inside and out. The animation was colorful and full of light, I was in awe throughout every scene. The culture was very lovely to see on screen as well. The story was so unique and I’m so glad that Day of the Dead is getting…  ", ★★★★★ ,alysa,01 Jul 2018
1148," I was going to give it four stars, but an extra half star for the Santo joke. ", ★★★★½ ,Mondo Cinema,
1149, proud corazón fucking SLAPS , ★★★★ ,nadia,03 Jun 2018
1150," My mom told me she wanted to see this when I told her how good it was back in December. But I told her we should wait to watch it, because her mom passed away in December, and I thought it might be too much for her. So we finally watched it for Mother's Day. How did she describe it? ""So touching!"" And we cried together. Still a beautiful movie with so much emotional power. Love it. ", ★★★★½ ,MaryAnn 🌵,13 May 2018
1151, those mf skeletons really had me sobbing on the toilet bowl at 2 in the morning , ★★★★½ ,justine ✨,04 Mar 2018
1152,"  Hey, it's the first Pixar film since Toy Story 3 that I've properly enjoyed! It's still noticeably sticking to the studio's finely tuned formula, but offers up a lot of colourful excitement and a very heartwarming message.Visually it's excellent as expected, filled with fantastic details in the character animations and glowing environments. The skeletons having eyeballs is a bit off-putting, but aside from that, the movie is a treat for our eyes. It's also got some fun little music…  ", ★★★ ,sleepy,04 Mar 2018
1153," This may be Pixar's most beautiful film to date and it gets their strength of storytelling back by blending a whole culture into a wonderfully inventive, exciting, and touching adventure. ", ★★★★ ,Leighton Trent,01 Mar 2018
1154,"  Honestly, I wanted to dislike ""Coco"". I got sick of hearing about it, about how someone had finally made an animated film using Mexican culture and legends. I got sick of this because it was like the whole damned world forgot about the existence of ""Book of Life"". I liked ""Book of Life"". It was a fun little movie with eye-popping visuals and a unique flair and atmosphere. It definitely set itself apart for me with its distinctive look and…  ", ★★★★½ ,Dale Nauertz,27 Feb 2018
1155," hey that’s nothing, just a fucking branch in my eye i’m not sobbing YOU ARE. ", ★★★★½ ,Alex Franqueira,27 Feb 2018
1156,"  Just when people start to question Pixar's lofty position on the animation throne, they put out another instant classic. Coco is a vibrant visually astonishing feast for the eyes, with a timely and timeless story to match. The attention to detail put into the Land of the Dead is a sight to behold. Disney films have had many dark moments throughout the studio's long tenure, but some of the themes in Coco are even darker than I could have expected.…  ", ★★★★½ ,ryan,26 Feb 2018
1157," It's hard not to be in awe of Coco. The pure existence of this film is an achievement, let alone the time and effort that was put into the film to create one of Disney's most vibrant films yet. Coco is nothing short of stunning. I regret not being able to see this film in theaters, since it would have been absolutely beautiful to see on the big screen. I can't wait to watch Coco over and over again, since it's truly a magnificent film that struck a very emotional chord within me. ", ★★★★★ ,Cody,08 Feb 2018
1158," Retreads familiar ground, but with such humour and warmth it's surely impossible not to love. It's eloquent musings on death make it one of the more poignant Pixar films. ", ★★★★ ,Theo Rollason,19 Jan 2018
1159, i sobbed continuously. coco oscar Now , ★★★★★ ,there is no howie only zuul,05 Feb 2018
1160," Coco was brilliant! Dementia, death, the fear of being forgotten when you die, more death. My 9 year old sister was a mess, time for her to man up anyways, the likkle pussyo. ", ★★★★★ ,GIRTHLORD,28 Jan 2018
1161,"  Coco is a richly-woven tapestry of culture and celebration, life and death, and family and love that proves Pixar never lost their magic so much as mislaid it for the Cars franchise. It obviously paid close attention to Inside Out, mixing sadness with joy and mastering the balance. It is sophisticated in conjuring a vividly-coloured vision and spectacle, for which director Lee Unkrich should acknowledged, and handling some tricky themes that Pixar excel in delivering each and every time. Adrian…  ", ★★★★ ,nathan,22 Jan 2018
1162, bro...i'm crying bro i love my family and i love the power of music and i love gael garcía bernal , ★★★★½ ,starr 🌙,20 Jan 2018
1163,  I'm SHOOK. I'm usually not a fan of these Disney movies. I didn't even expect to like Coco that much but holy shit this movie made me fucking cry forreal 2 damn times. Not just little teary eyes. Straight up BAWLING! Last time that happened was playing Telltale game's Walking Dead season 1. Wow this hit too close to home. Too damn relatable to Miguel. It just got better and better. A perfect story with message alongside beautiful animation.I can't…  , ★★★★★ ,Monty Da Average,
1164," I may have no heart but this one wasn't touching at all. Sure, Coco looks stunning, but name me a Disney movie that is not visually gorgeous? And that's all we have here. The story itself is very and very weak with too many cliches and predictable twists. Even the music score is nothing but a disappointment, especially for a movie centered on music. I am someone who always expects a bit more from animation than just cheap ""follow your dreams, love your family"" manipulation. ", ★ ,Ugnė🔥,11 Jan 2018
1165,"  03/78 of Keeping Up with the Boxes: January-February 2018In the past couple of years, I have become something of a Grinch when it comes to family-friendly animated movies: I rarely watch them, most of them pander to infants, and they are wholly repetitive. The last one I really enjoyed was Kubo and the Two Strings.I went into Coco with low expectations, even with all the positive reception surrounding it. I have to say that I was pleasantly surprised…  ", ★★★★½ ,Nicolò Grasso,04 Jan 2018
1166, Pixar's best film since Up. , ★★★★ ,Willow Maclay,03 Jan 2018
1167,"  Any new thing that comes attached with the Pixar logo, also comes with the urge to compare whatever it happens to be with previous entries in the Pixar canon, since, you know, Pixar is so entrenched in the millennial psyche for being the only consistently reliable animation studio prolifically pumping out masterwork after masterwork, year after year, for just over an entire decade, before Pixar finally revealed their fallibility, and before other any other studio finally caught up with comparable…  ", ★★★★ ,Paul,12 Dec 2017
1168,"  Well that was a kick on the emotional balls, and a hard one.It doesn't really cover new ground, specially when it comes to children movies or Pixar, and in general a lot of what happens you can see coming. Is simply nothing we haven't seen before, and a lot, but fuck if is not done marvelously. It has this way of just getting under your skin, It doesn't matter than the message is trite, the heart behind it gets…  ", ★★★★ ,sandrocorvetto,08 Dec 2017
1169,"  Most people think Pixar's 2010s dry streak ended with Inside Out. It kinda did, but to be honest, I've come to like Monsters University just as much. To be on par with Toy Storys, Monsters Inc, The Incredibles... that takes something a little more special. And finally, thankfully, Coco delivers.Not that I have that much attachment to Dia de los Muertos. In fact, I kinda learned what it was all about from this movie (and I skipped The Book…  ", ★★★★ ,Jack Moulton,06 Dec 2017
